Categoria,Indicatore,Territorio,Periodo,Valore,Unita,Fonte,Aggiornato
Appalti,Appalti lavori (importo),Asti,2025-04,1912848,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2025-05,18621706,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2025-06,2911056,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2025-07,10102780,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2025-08,2318281,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2025-09,19098446,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2025-10,7503283,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2025-11,4701144,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Asti,2025-12,3961150,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-01,3925380,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-02,941893,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-03,4329685,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-04,5224197,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-05,6316172,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-06,8984455,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-07,8058327,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-08,3942485,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-09,22797315,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-10,12659758,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-11,9315716,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2024-12,3742151,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-01,1731924,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-02,908960,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-03,2088828,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-04,2194868,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-05,41634267,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-06,6636566,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-07,3697714,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-08,1446140,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-09,8496540,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-10,4526316,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-11,2176503,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Biella,2025-12,4342061,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2024-01,14788405,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
Appalti,Appalti lavori (importo),Cuneo,2024-02,16882879,EUR,"ANAC (BDNCP, dataset CIG)",29/06/2026
