Territorio,Caratteristica,Categoria,Ordine,Percentuale,N_imprese
Vercelli,Fatturato fuori provincia,10-25%,3,66.7,3
Vercelli,Fatturato fuori provincia,25-50%,4,0.0,3
Vercelli,Fatturato fuori provincia,Oltre 50%,5,0.0,3
Cuneo,Fatturato fuori provincia,Nulla,1,10.5,19
Cuneo,Fatturato fuori provincia,Fino al 10%,2,31.6,19
Cuneo,Fatturato fuori provincia,10-25%,3,5.3,19
Cuneo,Fatturato fuori provincia,25-50%,4,21.1,19
Cuneo,Fatturato fuori provincia,Oltre 50%,5,31.6,19
Novara,Fatturato fuori provincia,Nulla,1,0.0,5
Novara,Fatturato fuori provincia,Fino al 10%,2,40.0,5
Novara,Fatturato fuori provincia,10-25%,3,0.0,5
Novara,Fatturato fuori provincia,25-50%,4,20.0,5
Novara,Fatturato fuori provincia,Oltre 50%,5,40.0,5
Torino,Fatturato fuori provincia,Nulla,1,31.6,38
Torino,Fatturato fuori provincia,Fino al 10%,2,23.7,38
Torino,Fatturato fuori provincia,10-25%,3,13.2,38
Torino,Fatturato fuori provincia,25-50%,4,18.4,38
Torino,Fatturato fuori provincia,Oltre 50%,5,13.2,38
Verbania,Fatturato fuori provincia,Nulla,1,30.0,10
Verbania,Fatturato fuori provincia,Fino al 10%,2,40.0,10
Verbania,Fatturato fuori provincia,10-25%,3,20.0,10
Verbania,Fatturato fuori provincia,25-50%,4,0.0,10
Verbania,Fatturato fuori provincia,Oltre 50%,5,10.0,10
Valle d'Aosta,Fatturato fuori provincia,Nulla,1,50.0,2
Valle d'Aosta,Fatturato fuori provincia,Fino al 10%,2,50.0,2
Valle d'Aosta,Fatturato fuori provincia,10-25%,3,0.0,2
Valle d'Aosta,Fatturato fuori provincia,25-50%,4,0.0,2
Valle d'Aosta,Fatturato fuori provincia,Oltre 50%,5,0.0,2
