PeriodoCod,Periodo,Ordine,Gruppo,Indicatore,Unita,Territorio,Valore
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Alessandria,67.5
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Aosta,71.7
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Asti,72.9
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Biella,69.0
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Cuneo,69.6
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Novara,72.8
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Torino,70.5
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Verbania,63.3
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori,giorni,Vercelli,79.3
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Alessandria,39.1
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Aosta,53.6
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Asti,40.7
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Biella,44.6
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Cuneo,42.5
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Novara,50.8
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Torino,45.9
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Verbania,38.3
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Fornitori con posa in opera,giorni,Vercelli,53.6
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Alessandria,48.0
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Aosta,60.0
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Asti,37.5
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Biella,56.2
206,II sem 2006,4013,Tempi medi pagamento fornitori (giorni),Noleggiatori a caldo,giorni,Cuneo,57.6
